id,accession number,title,who,image,when,date,numTags,whatString,collPage,gallery-id,,,,,,,,,,,,,,,
186836,"86.7.2a, b",Vase with cover (Vase des Ã¢ges) (one of a pair),"[""SÃ¨vres Manufactory""",Jean Michel Moreau the Younger,Charles-Nicholas Dodin,Henry-Martin PrÃ©vost],http://images.metmuseum.org/CRDImages/es/original/DP149970.jpg,A.D. 1600-1800,1782,1,,,,,,,,,,,,,,,
268344,37.14.44,William Henry Harrison,"[""Albert Sands Southworth""",Southworth  Hawes,Josiah Johnson Hawes,Albert Gallatin Hoit],http://images.metmuseum.org/CRDImages/ph/original/DT1670.jpg,A.D. 1800-1900,ca. 1850,1,,,,,,,,,,,,,,,
268351,37.14.50,Charles Sprague,"[""Albert Sands Southworth""",Southworth  Hawes,Josiah Johnson Hawes,Charles Sprague],http://images.metmuseum.org/CRDImages/ph/original/PH231.jpg,A.D. 1800-1900,ca. 1850,1,,,,,,,,,,,,,,,
255367,1972.118.54,Bronze head of a griffin,,http://images.metmuseum.org/CRDImages/gr/original/DT7204.jpg,1000 B.C.-A.D. 1,third quarter of the 7th century B.C.,1,"[""Metal"",""Vessels"",""Copper alloy"",""Bronze"",""Cauldrons""]",http://www.metmuseum.org/Collections/search-the-collections/255367,150,,,,,,,,,,,,,,,
239949,74.51.364,Terracotta pyxis (cosmetic box),,http://images.metmuseum.org/CRDImages/gr/original/GR384_74.51.364.jpg,1000 B.C.-A.D. 1,ca. 550 B.C.,2,"[""Clay"",""Vessels"",""Vases"",""Terracotta"",""Pyxides""]",http://www.metmuseum.org/Collections/search-the-collections/239949,152,,,,,,,,,,,,,,,
255453,1972.118.142,Faience aryballos (perfume vase) in the form of two heads,,http://images.metmuseum.org/CRDImages/gr/original/DT1059.jpg,1000 B.C.-A.D. 1,4th quarter of the 6th century B.C.,1,"[""Faience"",""Aryballoi""]",http://www.metmuseum.org/Collections/search-the-collections/255453,152,,,,,,,,,,,,,,,
251838,25.78.56,Fragments of a marble statue of the Diadoumenos (youth tying a fillet around his head),Polykleitos,http://images.metmuseum.org/CRDImages/gr/original/DT11982.jpg,A.D. 1-500,ca. A.D. 69â€“96,1,"[""Sculpture"",""Stone"",""Statues"",""Marble""]",http://www.metmuseum.org/Collections/search-the-collections/251838,153,,,,,,,,,,,,,,,
254481,42.11.43,Upper part of a marble statue of a woman,,http://images.metmuseum.org/CRDImages/gr/original/DP116944.jpg,A.D. 1-500,1stâ€“2nd century A.D.,1,"[""Sculpture"",""Stone"",""Statues"",""Marble""]",http://www.metmuseum.org/Collections/search-the-collections/254481,153,,,,,,,,,,,,,,,
246569,96.18.50,Terracotta kylix: eye-cup (drinking cup),,http://images.metmuseum.org/CRDImages/gr/original/DP115823.jpg,1000 B.C.-A.D. 1,ca. 520â€“510 B.C.,1,"[""Clay"",""Vessels"",""Vases"",""Terracotta"",""Drinking vessels"",""Cups"",""Kylikes""]",http://www.metmuseum.org/Collections/search-the-collections/246569,155,,,,,,,,,,,,,,,
247267,06.1021.101,Terracotta column-krater (bowl for mixing wine and water),,http://images.metmuseum.org/CRDImages/gr/original/DP218570.jpg,1000 B.C.-A.D. 1,ca. 520â€“510 B.C.,1,"[""Clay"",""Vessels"",""Vases"",""Terracotta"",""Kraters""]",http://www.metmuseum.org/Collections/search-the-collections/247267,155,,,,,,,,,,,,,,,
