"id","accession number","title","who","image","when","date","numTags"
10427,"1985.141.1","Portrait of a Gentleman","George Catlin","http://images.metmuseum.org/CRDImages/ap/original/DP168883.jpg","A.D. 1800-1900","1827",1
10484,"38.146.3","Portrait of a Lady","Alvan Clark","http://images.metmuseum.org/CRDImages/ap/original/DP161467.jpg","A.D. 1800-1900","ca. 1835",1
10512,"83.3","Cain","J. Stanley Connor","http://images.metmuseum.org/CRDImages/ap/original/83.3.jpg","A.D. 1800-1900","by 1883",1
10522,"49.12","Daniel Crommelin Verplanck","John Singleton Copley","http://images.metmuseum.org/CRDImages/ap/original/DT58.jpg","A.D. 1600-1800","1771",1
10855,"38.145.91","Portrait of an Old Lady","James Sanford Ellsworth","http://images.metmuseum.org/CRDImages/ap/original/DP105570w.jpg","A.D. 1800-1900","ca. 1840–45",1
10891,"33.62","Augustus Saint-Gaudens","John Flanagan","http://images.metmuseum.org/CRDImages/ap/original/DP169687.jpg","A.D. 1900-present","1905–24, cast 1924",1
10896,"49.67","Portrait of a Gentleman","William Franks","http://images.metmuseum.org/CRDImages/ap/original/ap49.67.jpg","A.D. 1600-1800","ca. 1795",2
10948,"38.146.7","Self-portrait","Thomas Gimbrede","http://images.metmuseum.org/CRDImages/ap/original/ap38.146.7.jpg","A.D. 1800-1900","ca. 1805",1
10958,"68.222.25","Portrait of a Lady","Sarah Goodridge","http://images.metmuseum.org/CRDImages/ap/original/ap68.222.25.jpg","A.D. 1800-1900","1830",2
10970,"X.331","Samuel Finley Breese Morse","Horatio Greenough","http://images.metmuseum.org/CRDImages/ap/original/X.331.L.jpg",,"1831; cast probably 1928?",1
10986,"24.109.95","Portrait of a Gentleman","Nathaniel Hancock","http://images.metmuseum.org/CRDImages/ap/original/DP161460.jpg","A.D. 1600-1800","ca. 1785",1
11015,"32.75.13","Portrait of a Lady","George Harvey","http://images.metmuseum.org/CRDImages/ap/original/ap32.75.13.jpg","A.D. 1800-1900","ca. 1830",1
11055,"23.102","Euphemia White Van Rensselaer","George P. A. Healy","http://images.metmuseum.org/CRDImages/ap/original/DT2051.jpg","A.D. 1800-1900","1842",1
11365,"95.20","Portrait of a Lady","Joseph Kyle","http://images.metmuseum.org/CRDImages/ap/original/ap95.20.jpg","A.D. 1800-1900","1861",1
11443,"20.55","Louise","Evelyn Beatrice Longman","http://images.metmuseum.org/CRDImages/ap/original/20.55.jpg","A.D. 1900-present","1902; executed, 1910",1
11477,"22.61","Boy and Duck","Frederick William MacMonnies","http://images.metmuseum.org/CRDImages/ap/original/22.61.jpg",,"1895–96, cast 1901",1
11506,"1985.141.7","Portrait of a Lady",,"http://images.metmuseum.org/CRDImages/ap/original/DP222175.jpg","A.D. 1800-1900","ca. 1805",1
11773,"25.106.12","Portrait of a Lady","Joseph-Pierre Picot de Limoelan de Cloriviere","http://images.metmuseum.org/CRDImages/ap/original/ap25.106.12.jpg","A.D. 1800-1900","ca. 1808",1
11931,"28.169.2","Mrs. Gabriel Manigault (Margaret Izard)","Walter Robertson","http://images.metmuseum.org/CRDImages/ap/original/DP222406.jpg","A.D. 1600-1800","ca. 1795",1
11932,"95.14.112","Portrait of a Lady","Walter Robertson","http://images.metmuseum.org/CRDImages/ap/original/ap95.14.112.jpg","A.D. 1600-1800","ca. 1795",1
11944,"95.14.118","Humphry Howland","Nathaniel Rogers","http://images.metmuseum.org/CRDImages/ap/original/ap95.14.118.jpg","A.D. 1800-1900","ca. 1822",1
11973,"68.222.33","Portrait of a Lady","Moses . Russell","http://images.metmuseum.org/CRDImages/ap/original/DP168958.jpg","A.D. 1800-1900","1834",1
12379,"50.130.147a","Fish and Fishing Motifs, Faces and Figures (from Switzerland 1869 Sketchbook)","John Singer Sargent","http://images.metmuseum.org/CRDImages/ap/original/219108.jpg","A.D. 1800-1900","May 26, 1869",1
12545,"1977.135","Portrait of a Lady (possibly Tryntje Otten Veeder)","Schuyler Limner","http://images.metmuseum.org/CRDImages/ap/original/DP227641.jpg","A.D. 1600-1800","1720–25",1
12600,"62.79.1","Francis Brinley","John Smibert","http://images.metmuseum.org/CRDImages/ap/original/DT53.jpg","A.D. 1600-1800","1729",1
12602,"62.79.2","Mrs. Francis Brinley and Her Son Francis","John Smibert","http://images.metmuseum.org/CRDImages/ap/original/DT54.jpg","A.D. 1600-1800","1729",2
12700,"1970.118","Portrait of a Gentleman","Thomas Seir Cummings","http://images.metmuseum.org/CRDImages/ap/original/ap1970.118.jpg","A.D. 1800-1900","ca. 1840",1
12726,"42.95.29","Tableau of Indian Faces",["Pavel Petrovich Svinin","John Lewis Krimmel"],"http://images.metmuseum.org/CRDImages/ap/original/ap42.95.29.jpg","A.D. 1800-1900","1811–ca. 1813",16
12812,"50.145.36","Portrait of a Gentleman","Benjamin Trott","http://images.metmuseum.org/CRDImages/ap/original/DP276995.jpg","A.D. 1800-1900","ca. 1812",1
12864,"41.35.2","Portrait of a Gentleman",,"http://images.metmuseum.org/CRDImages/ap/original/ap41.35.2.jpg","A.D. 1600-1800","early 18th century",1
12933,"1973.323.6","Portrait of a Little Girl Picking Grapes",,"http://images.metmuseum.org/CRDImages/ap/original/DP221115.jpg","A.D. 1800-1900","1840–50",1
12971,"35.114","Portrait of a Girl",,"http://images.metmuseum.org/CRDImages/ap/original/ap35.114.jpg","A.D. 1800-1900","ca. 1830",1
12972,"25.178.4","Portrait of a Gentleman",,"http://images.metmuseum.org/CRDImages/ap/original/ap25.178.4.jpg","A.D. 1800-1900","ca. 1810–15",1
12978,"55.73.3","Portrait of a Man","Thomas Hicks","http://images.metmuseum.org/CRDImages/ap/original/ap55.73.3.jpg","A.D. 1800-1900","ca. 1850",1
12980,"25.108","Portrait of a Woman, Called Maria Taylor Byrd","School of Sir Godrey Kneller, 1646–1723","http://images.metmuseum.org/CRDImages/ap/original/ap25.108.jpg","A.D. 1600-1800","1700–1725",1
12982,"62.48.2","Portrait of a Woman; Possibly Mrs. Hattie Laroox","J. Z.","http://images.metmuseum.org/CRDImages/ap/original/ap62.48.2.jpg","A.D. 1600-1800","1776",1
12985,"33.136.10","Portrait of a Gentleman",,"http://images.metmuseum.org/CRDImages/ap/original/ap33.136.10.jpg","A.D. 1800-1900","ca. 1820",1
12994,"64.97.4","Portrait of a Man",,"http://images.metmuseum.org/CRDImages/ap/original/ap64.97.4.jpg","A.D. 1800-1900","1800–1850",1
12997,"27.125","Robert Monckton",,"http://images.metmuseum.org/CRDImages/ad/original/68224.jpg","A.D. 1600-1800","ca. 1765",1
13024,"1981.447.1","Portrait of a Gentleman","John Wood Dodge","http://images.metmuseum.org/CRDImages/ap/original/ap1981.447.1.jpg","A.D. 1800-1900","1841",1
13039,"11.60.181","Portrait of a Man","Thomas Bluget De Valdenuit","http://images.metmuseum.org/CRDImages/ap/original/ap11.60.181.jpg","A.D. 1600-1800","1797",1
13091,"99.29.1","Edward Kellogg",["Samuel Lovett Waldo","William Jewett"],"http://images.metmuseum.org/CRDImages/ap/original/ap99.29.1.jpg","A.D. 1800-1900","1831–32",1
13097,"99.29.2","Mrs. Edward Kellogg",["Samuel Lovett Waldo","William Jewett"],"http://images.metmuseum.org/CRDImages/ap/original/ap99.29.2.jpg","A.D. 1800-1900","1831–32",1
13101,"1973.123","Portrait of a Girl with Flowers",["Samuel Lovett Waldo","William Jewett"],"http://images.metmuseum.org/CRDImages/ap/original/ap1973.123.jpg","A.D. 1800-1900","ca. 1835",1
13155,"98.9.6","Mrs. Olin Levi Warner","Olin Levi Warner","http://images.metmuseum.org/CRDImages/ap/original/98.9.6.jpg","A.D. 1800-1900","1886–87, cast 1897–98",1
13331,"65.34","Portrait of a Boy, Probably of the Crossfield Family","William Williams","http://images.metmuseum.org/CRDImages/ap/original/ap65.34.jpg","A.D. 1600-1800","ca. 1770–75",1
13358,"67.55.162","Convent near Rome","George Henry Yewell","http://images.metmuseum.org/CRDImages/ap/original/ap67.55.162.jpg","A.D. 1800-1900","1870",1
13393,"1990.21.1","Self-Portrait","John Henry Brown","http://images.metmuseum.org/CRDImages/ap/original/DP168967.jpg","A.D. 1800-1900","ca. 1846",1
13552,"83.2.154","Badge of George Washington",,"http://images.metmuseum.org/CRDImages/ad/original/25539_83.2.154.jpg","A.D. 1800-1900","1832",1
13836,"46.106.2","Printed Piece","Henry Gardiner","http://images.metmuseum.org/CRDImages/ad/original/136855.jpg","A.D. 1600-1800","ca. 1785",1
14353,"2006.235.144","Portrait of a Lady","James Peale","http://images.metmuseum.org/CRDImages/ap/original/APS6652.jpg",,"ca. 1800",1
14400,"1991.91","Portrait of a Gentleman","Louis Francis DePaul Binsse","http://images.metmuseum.org/CRDImages/ap/original/ap1991.91.jpg","A.D. 1800-1900","ca. 1810",1
14403,"1992.71","Portrait of a Gentleman","Nathaniel Rogers","http://images.metmuseum.org/CRDImages/ap/original/ap1992.71.jpg","A.D. 1800-1900","ca. 1825",1
14428,"2006.235.26","Portrait of a Lady","John Carlin","http://images.metmuseum.org/CRDImages/ap/original/APS6782.jpg","A.D. 1800-1900","ca. 1850",1
14522,"2006.235.164","Portrait of a Gentleman","Nathaniel Rogers","http://images.metmuseum.org/CRDImages/ap/original/APS6541.jpg","A.D. 1800-1900","ca. 1835",1
14997,"2006.235.281","Portrait of a Lady","Daniel F. Ames","http://images.metmuseum.org/CRDImages/ap/original/APS6898.jpg","A.D. 1800-1900","1840–50",1
15008,"2006.235.251","Portrait of a Gentleman","William Russell Birch","http://images.metmuseum.org/CRDImages/ap/original/APS6774.jpg",,,1
15009,"2006.235.308","Portrait of a Lady","David Boudon","http://images.metmuseum.org/CRDImages/ap/original/SFcs235308a.jpg",,,1
15016,"2006.235.24","Portrait of a Gentleman","John Carlin","http://images.metmuseum.org/CRDImages/ap/original/APS6760.jpg","A.D. 1800-1900","1854",1
15018,"2006.235.28","Portrait of a Gentleman","George Catlin","http://images.metmuseum.org/CRDImages/ap/original/APS6805.jpg","A.D. 1800-1900","ca. 1835",1
15026,"2006.235.32","Self-portrait miniature","John Singleton Copley","http://images.metmuseum.org/CRDImages/ap/original/DP161508.jpg","A.D. 1600-1800","1769",1
15031,"2006.235.7","Portrait of a Gentleman","Thomas Seir Cummings","http://images.metmuseum.org/CRDImages/ap/original/APS6591.jpg","A.D. 1800-1900","1840–45",1
15032,"2006.235.36","Portrait of a Gentleman","Thomas Seir Cummings","http://images.metmuseum.org/CRDImages/ap/original/APS6817.jpg","A.D. 1800-1900","1825–30",1
15033,"2006.235.37","Portrait of a Gentleman","Thomas Dawson","http://images.metmuseum.org/CRDImages/ap/original/APS6818.jpg","A.D. 1800-1900","1844",1
15036,"2006.235.40","Portrait of a Gentleman","Anson Dickinson","http://images.metmuseum.org/CRDImages/ap/original/APS6822.jpg","A.D. 1800-1900","1838",1
15052,"2006.235.58","Portrait of a Gentleman","William M. S. Doyle","http://images.metmuseum.org/CRDImages/ap/original/APS6840.jpg","A.D. 1800-1900","1808",1
15053,"2006.235.60","Portrait of a Gentleman","William M. S. Doyle","http://images.metmuseum.org/CRDImages/ap/original/APS6842.jpg","A.D. 1800-1900","1814",1
