"id","accession number","title","who","image"
10427,"1985.141.1","Portrait of a Gentleman","George Catlin","http://images.metmuseum.org/CRDImages/ap/original/DP168883.jpg"
10484,"38.146.3","Portrait of a Lady","Alvan Clark","http://images.metmuseum.org/CRDImages/ap/original/DP161467.jpg"
10512,"83.3","Cain","J. Stanley Connor","http://images.metmuseum.org/CRDImages/ap/original/83.3.jpg"
10522,"49.12","Daniel Crommelin Verplanck","John Singleton Copley","http://images.metmuseum.org/CRDImages/ap/original/DT58.jpg"
10855,"38.145.91","Portrait of an Old Lady","James Sanford Ellsworth","http://images.metmuseum.org/CRDImages/ap/original/DP105570w.jpg"
10891,"33.62","Augustus Saint-Gaudens","John Flanagan","http://images.metmuseum.org/CRDImages/ap/original/DP169687.jpg"
10896,"49.67","Portrait of a Gentleman","William Franks","http://images.metmuseum.org/CRDImages/ap/original/ap49.67.jpg"
10948,"38.146.7","Self-portrait","Thomas Gimbrede","http://images.metmuseum.org/CRDImages/ap/original/ap38.146.7.jpg"
10958,"68.222.25","Portrait of a Lady","Sarah Goodridge","http://images.metmuseum.org/CRDImages/ap/original/ap68.222.25.jpg"
10970,"X.331","Samuel Finley Breese Morse","Horatio Greenough","http://images.metmuseum.org/CRDImages/ap/original/X.331.L.jpg"
10986,"24.109.95","Portrait of a Gentleman","Nathaniel Hancock","http://images.metmuseum.org/CRDImages/ap/original/DP161460.jpg"
11015,"32.75.13","Portrait of a Lady","George Harvey","http://images.metmuseum.org/CRDImages/ap/original/ap32.75.13.jpg"
11055,"23.102","Euphemia White Van Rensselaer","George P. A. Healy","http://images.metmuseum.org/CRDImages/ap/original/DT2051.jpg"
11365,"95.20","Portrait of a Lady","Joseph Kyle","http://images.metmuseum.org/CRDImages/ap/original/ap95.20.jpg"
11443,"20.55","Louise","Evelyn Beatrice Longman","http://images.metmuseum.org/CRDImages/ap/original/20.55.jpg"
11477,"22.61","Boy and Duck","Frederick William MacMonnies","http://images.metmuseum.org/CRDImages/ap/original/22.61.jpg"
11506,"1985.141.7","Portrait of a Lady",,"http://images.metmuseum.org/CRDImages/ap/original/DP222175.jpg"
11773,"25.106.12","Portrait of a Lady","Joseph-Pierre Picot de Limoelan de Cloriviere","http://images.metmuseum.org/CRDImages/ap/original/ap25.106.12.jpg"
11931,"28.169.2","Mrs. Gabriel Manigault (Margaret Izard)","Walter Robertson","http://images.metmuseum.org/CRDImages/ap/original/DP222406.jpg"
11932,"95.14.112","Portrait of a Lady","Walter Robertson","http://images.metmuseum.org/CRDImages/ap/original/ap95.14.112.jpg"
11944,"95.14.118","Humphry Howland","Nathaniel Rogers","http://images.metmuseum.org/CRDImages/ap/original/ap95.14.118.jpg"
11973,"68.222.33","Portrait of a Lady","Moses . Russell","http://images.metmuseum.org/CRDImages/ap/original/DP168958.jpg"
12379,"50.130.147a","Fish and Fishing Motifs, Faces and Figures (from Switzerland 1869 Sketchbook)","John Singer Sargent","http://images.metmuseum.org/CRDImages/ap/original/219108.jpg"
12545,"1977.135","Portrait of a Lady (possibly Tryntje Otten Veeder)","Schuyler Limner","http://images.metmuseum.org/CRDImages/ap/original/DP227641.jpg"
12600,"62.79.1","Francis Brinley","John Smibert","http://images.metmuseum.org/CRDImages/ap/original/DT53.jpg"
12602,"62.79.2","Mrs. Francis Brinley and Her Son Francis","John Smibert","http://images.metmuseum.org/CRDImages/ap/original/DT54.jpg"
12700,"1970.118","Portrait of a Gentleman","Thomas Seir Cummings","http://images.metmuseum.org/CRDImages/ap/original/ap1970.118.jpg"
12726,"42.95.29","Tableau of Indian Faces",["Pavel Petrovich Svinin","John Lewis Krimmel"],"http://images.metmuseum.org/CRDImages/ap/original/ap42.95.29.jpg"
12812,"50.145.36","Portrait of a Gentleman","Benjamin Trott","http://images.metmuseum.org/CRDImages/ap/original/DP276995.jpg"
12864,"41.35.2","Portrait of a Gentleman",,"http://images.metmuseum.org/CRDImages/ap/original/ap41.35.2.jpg"
12933,"1973.323.6","Portrait of a Little Girl Picking Grapes",,"http://images.metmuseum.org/CRDImages/ap/original/DP221115.jpg"
12971,"35.114","Portrait of a Girl",,"http://images.metmuseum.org/CRDImages/ap/original/ap35.114.jpg"
12972,"25.178.4","Portrait of a Gentleman",,"http://images.metmuseum.org/CRDImages/ap/original/ap25.178.4.jpg"
12978,"55.73.3","Portrait of a Man","Thomas Hicks","http://images.metmuseum.org/CRDImages/ap/original/ap55.73.3.jpg"
